kaynak            : examples
bölme tohumları   : (11, 22, 33, 44, 55)
eğitim tohumları  : (0, 1, 2)
epoch / batch     : 20 / 64
--balance-by      : core:freq_lower_edge

=== bölme tohumu 11 ===
  train : bpsk_02(-180k), bpsk_04(+280k), qpsk_02(-180k), qpsk_04(+280k)
  val   : bpsk_01(-280k), qpsk_01(-280k)
  test  : bpsk_03(+180k), qpsk_03(+180k)
    [split 22 train 0] epoch   4 kayıp 0.6503 eğitim 0.6562 val 0.5000
    [split 22 train 0] epoch   5 kayıp 0.6291 eğitim 0.7125 val 0.5000
    [split 22 train 0] epoch   6 kayıp 0.6067 eğitim 0.7906 val 0.5000
    [split 22 train 0] epoch   7 kayıp 0.5853 eğitim 0.8438 val 0.5000
    [split 22 train 0] epoch   8 kayıp 0.5692 eğitim 0.8531 val 0.5000
    [split 22 train 0] epoch   9 kayıp 0.5346 eğitim 0.8781 val 0.5000
    [split 22 train 0] epoch  10 kayıp 0.4947 eğitim 0.9031 val 0.5000
    [split 22 train 0] epoch  11 kayıp 0.4578 eğitim 0.9281 val 0.5000
    [split 22 train 0] epoch  12 kayıp 0.4023 eğitim 0.9781 val 0.5000
    [split 22 train 0] epoch  13 kayıp 0.3494 eğitim 0.9844 val 0.5000
    [split 22 train 0] epoch  14 kayıp 0.3068 eğitim 0.9906 val 0.5000
    [split 22 train 0] epoch  15 kayıp 0.2709 eğitim 0.9938 val 0.5000
    [split 22 train 0] epoch  16 kayıp 0.2287 eğitim 0.9969 val 0.5000
    [split 22 train 0] epoch  17 kayıp 0.1930 eğitim 1.0000 val 0.5000
    [split 22 train 0] epoch  18 kayıp 0.1703 eğitim 0.9875 val 0.5000
    [split 22 train 0] epoch  19 kayıp 0.1533 eğitim 0.9938 val 0.5000
    [split 22 train 0] epoch  20 kayıp 0.1278 eğitim 0.9969 val 0.5000
  -> eğitim tohumu 0: eğitim 99.69%  test 61.88%  (bpsk=35.00%  qpsk=88.75%)
    [split 22 train 1] epoch   1 kayıp 0.7014 eğitim 0.4906 val 0.5000
    [split 22 train 1] epoch   2 kayıp 0.6947 eğitim 0.4906 val 0.5000
    [split 22 train 1] epoch   3 kayıp 0.6817 eğitim 0.5281 val 0.5000
    [split 22 train 1] epoch   4 kayıp 0.6583 eğitim 0.6469 val 0.5000
    [split 22 train 1] epoch   5 kayıp 0.6397 eğitim 0.7281 val 0.5000
    [split 22 train 1] epoch   6 kayıp 0.6244 eğitim 0.7375 val 0.5000
    [split 22 train 1] epoch   7 kayıp 0.6085 eğitim 0.7688 val 0.5000
    [split 22 train 1] epoch   8 kayıp 0.5629 eğitim 0.8906 val 0.5000
    [split 22 train 1] epoch   9 kayıp 0.5388 eğitim 0.8812 val 0.5000
    [split 22 train 1] epoch  10 kayıp 0.4958 eğitim 0.9156 val 0.5000
    [split 22 train 1] epoch  11 kayıp 0.4381 eğitim 0.9437 val 0.5000
    [split 22 train 1] epoch  12 kayıp 0.3898 eğitim 0.9719 val 0.5000
    [split 22 train 1] epoch  13 kayıp 0.3427 eğitim 0.9750 val 0.5000
    [split 22 train 1] epoch  14 kayıp 0.2980 eğitim 0.9844 val 0.5000
    [split 22 train 1] epoch  15 kayıp 0.2632 eğitim 0.9875 val 0.5000
    [split 22 train 1] epoch  16 kayıp 0.2163 eğitim 0.9906 val 0.5000
    [split 22 train 1] epoch  17 kayıp 0.1870 eğitim 0.9969 val 0.5000
    [split 22 train 1] epoch  18 kayıp 0.1557 eğitim 0.9906 val 0.5000
    [split 22 train 1] epoch  19 kayıp 0.1393 eğitim 0.9969 val 0.5000
    [split 22 train 1] epoch  20 kayıp 0.1185 eğitim 0.9969 val 0.5000
  -> eğitim tohumu 1: eğitim 99.69%  test 50.00%  (bpsk=100.00%  qpsk=0.00%)
    [split 22 train 2] epoch   1 kayıp 0.7419 eğitim 0.5125 val 0.5000
    [split 22 train 2] epoch   2 kayıp 0.6891 eğitim 0.5656 val 0.5000
    [split 22 train 2] epoch   3 kayıp 0.6714 eğitim 0.6031 val 0.5000
    [split 22 train 2] epoch   4 kayıp 0.6430 eğitim 0.7063 val 0.6750
    [split 22 train 2] epoch   5 kayıp 0.6202 eğitim 0.6937 val 0.4938
    [split 22 train 2] epoch   6 kayıp 0.5858 eğitim 0.8031 val 0.5000
    [split 22 train 2] epoch   7 kayıp 0.5538 eğitim 0.8531 val 0.5000
    [split 22 train 2] epoch   8 kayıp 0.5042 eğitim 0.9313 val 0.5000
    [split 22 train 2] epoch   9 kayıp 0.4680 eğitim 0.9625 val 0.5000
    [split 22 train 2] epoch  10 kayıp 0.4316 eğitim 0.9375 val 0.5000
    [split 22 train 2] epoch  11 kayıp 0.3840 eğitim 0.9469 val 0.5000
    [split 22 train 2] epoch  12 kayıp 0.3399 eğitim 0.9563 val 0.5000
    [split 22 train 2] epoch  13 kayıp 0.2929 eğitim 0.9750 val 0.5000
    [split 22 train 2] epoch  14 kayıp 0.2641 eğitim 0.9969 val 0.5000
    [split 22 train 2] epoch  15 kayıp 0.2116 eğitim 1.0000 val 0.5000
    [split 22 train 2] epoch  16 kayıp 0.2048 eğitim 0.9969 val 0.5000
    [split 22 train 2] epoch  17 kayıp 0.1713 eğitim 0.9938 val 0.5000
    [split 22 train 2] epoch  18 kayıp 0.1455 eğitim 0.9938 val 0.5000
    [split 22 train 2] epoch  19 kayıp 0.1323 eğitim 0.9938 val 0.5000
    [split 22 train 2] epoch  20 kayıp 0.1126 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 2: eğitim 100.00%  test 50.00%  (bpsk=100.00%  qpsk=0.00%)

=== bölme tohumu 33 ===
  train : bpsk_01(-280k), bpsk_02(-180k), qpsk_01(-280k), qpsk_02(-180k)
  val   : bpsk_03(+180k), qpsk_03(+180k)
  test  : bpsk_04(+280k), qpsk_04(+280k)
    [split 33 train 0] epoch   1 kayıp 0.6987 eğitim 0.5125 val 0.5000
    [split 33 train 0] epoch   2 kayıp 0.6858 eğitim 0.5781 val 0.5000
    [split 33 train 0] epoch   3 kayıp 0.6642 eğitim 0.6312 val 0.5000
    [split 33 train 0] epoch   4 kayıp 0.6407 eğitim 0.6969 val 0.5000
    [split 33 train 0] epoch   5 kayıp 0.6159 eğitim 0.7594 val 0.5000
    [split 33 train 0] epoch   6 kayıp 0.5841 eğitim 0.8469 val 0.5000
    [split 33 train 0] epoch   7 kayıp 0.5623 eğitim 0.8750 val 0.5000
    [split 33 train 0] epoch   8 kayıp 0.5337 eğitim 0.8719 val 0.5000
    [split 33 train 0] epoch   9 kayıp 0.4918 eğitim 0.9219 val 0.5000
    [split 33 train 0] epoch  10 kayıp 0.4465 eğitim 0.9219 val 0.5000
    [split 33 train 0] epoch  11 kayıp 0.4075 eğitim 0.9563 val 0.5000
    [split 33 train 0] epoch  12 kayıp 0.3550 eğitim 0.9688 val 0.5000
    [split 33 train 0] epoch  13 kayıp 0.3002 eğitim 0.9812 val 0.8000
    [split 33 train 0] epoch  14 kayıp 0.2590 eğitim 0.9938 val 0.6937
    [split 33 train 0] epoch  15 kayıp 0.2243 eğitim 0.9938 val 0.4938
    [split 33 train 0] epoch  16 kayıp 0.1884 eğitim 0.9938 val 0.5062
    [split 33 train 0] epoch  17 kayıp 0.1620 eğitim 0.9969 val 0.5000
    [split 33 train 0] epoch  18 kayıp 0.1345 eğitim 0.9938 val 0.5000
    [split 33 train 0] epoch  19 kayıp 0.1173 eğitim 1.0000 val 0.5000
    [split 33 train 0] epoch  20 kayıp 0.0982 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 0: eğitim 100.00%  test 50.62%  (bpsk=1.25%  qpsk=100.00%)
    [split 33 train 1] epoch   1 kayıp 0.7023 eğitim 0.4938 val 0.5000
    [split 33 train 1] epoch   2 kayıp 0.6884 eğitim 0.5219 val 0.5000
    [split 33 train 1] epoch   3 kayıp 0.6757 eğitim 0.5594 val 0.5000
    [split 33 train 1] epoch   4 kayıp 0.6471 eğitim 0.6687 val 0.5000
    [split 33 train 1] epoch   5 kayıp 0.6278 eğitim 0.7625 val 0.5000
    [split 33 train 1] epoch   6 kayıp 0.6084 eğitim 0.7688 val 0.5000
    [split 33 train 1] epoch   7 kayıp 0.5863 eğitim 0.8031 val 0.5375
    [split 33 train 1] epoch   8 kayıp 0.5332 eğitim 0.9156 val 0.5875
    [split 33 train 1] epoch   9 kayıp 0.5035 eğitim 0.9406 val 0.6625
    [split 33 train 1] epoch  10 kayıp 0.4574 eğitim 0.9469 val 0.5500
    [split 33 train 1] epoch  11 kayıp 0.4029 eğitim 0.9719 val 0.6250
    [split 33 train 1] epoch  12 kayıp 0.3545 eğitim 0.9781 val 0.6937
    [split 33 train 1] epoch  13 kayıp 0.3125 eğitim 0.9844 val 0.4938
    [split 33 train 1] epoch  14 kayıp 0.2776 eğitim 0.9812 val 0.5000
    [split 33 train 1] epoch  15 kayıp 0.2542 eğitim 0.9875 val 0.4938
    [split 33 train 1] epoch  16 kayıp 0.1980 eğitim 0.9906 val 0.5000
    [split 33 train 1] epoch  17 kayıp 0.1778 eğitim 0.9969 val 0.5000
    [split 33 train 1] epoch  18 kayıp 0.1523 eğitim 0.9938 val 0.5000
    [split 33 train 1] epoch  19 kayıp 0.1274 eğitim 0.9969 val 0.5000
    [split 33 train 1] epoch  20 kayıp 0.1136 eğitim 1.0000 val 0.5000
  -> eğitim tohumu 1: eğitim 100.00%  test 50.00%  (bpsk=0.00%  qpsk=100.00%)
    [split 33 train 2] epoch   1 kayıp 0.7369 eğitim 0.5000 val 0.5000
    [split 33 train 2] epoch   2 kayıp 0.6763 eğitim 0.5687 val 0.5000
    [split 33 train 2] epoch   3 kayıp 0.6402 eğitim 0.6875 val 0.5000
    [split 33 train 2] epoch   4 kayıp 0.6039 eğitim 0.8063 val 0.5000
    [split 33 train 2] epoch   5 kayıp 0.5722 eğitim 0.7844 val 0.5000
    [split 33 train 2] epoch   6 kayıp 0.5374 eğitim 0.8812 val 0.5000
    [split 33 train 2] epoch   7 kayıp 0.4996 eğitim 0.9219 val 0.5000
    [split 33 train 2] epoch   8 kayıp 0.4579 eğitim 0.9594 val 0.5000
    [split 33 train 2] epoch   9 kayıp 0.4230 eğitim 0.9656 val 0.5000
    [split 33 train 2] epoch  10 kayıp 0.3965 eğitim 0.9500 val 0.5000
    [split 33 train 2] epoch  11 kayıp 0.3532 eğitim 0.9688 val 0.5000
    [split 33 train 2] epoch  12 kayıp 0.3141 eğitim 0.9844 val 0.5000
    [split 33 train 2] epoch  13 kayıp 0.2647 eğitim 0.9906 val 0.5000
    [split 33 train 2] epoch  14 kayıp 0.2385 eğitim 0.9906 val 0.5000
    [split 33 train 2] epoch  15 kayıp 0.1866 eğitim 1.0000 val 0.5000
    [split 33 train 2] epoch  16 kayıp 0.1848 eğitim 0.9969 val 0.5000
    [split 33 train 2] epoch  17 kayıp 0.1575 eğitim 0.9906 val 0.5000
    [split 33 train 2] epoch  18 kayıp 0.1310 eğitim 0.9969 val 0.5000
    [split 33 train 2] epoch  19 kayıp 0.1168 eğitim 0.9938 val 0.5000
    [split 33 train 2] epoch  20 kayıp 0.1047 eğitim 0.9969 val 0.5000
  -> eğitim tohumu 2: eğitim 99.69%  test 50.00%  (bpsk=100.00%  qpsk=0.00%)

=== bölme tohumu 44 ===
  train : bpsk_01(-280k), bpsk_02(-180k), qpsk_01(-280k), qpsk_02(-180k)
  val   : bpsk_03(+180k), qpsk_03(+180k)
  test  : bpsk_04(+280k), qpsk_04(+280k)
    [split 44 train 0] epoch   1 kayıp 0.6987 eğitim 0.5125 val 0.5000
    [split 44 train 0] epoch   2 kayıp 0.6858 eğitim 0.5781 val 0.5000
    [split 44 train 0] epoch   3 kayıp 0.6642 eğitim 0.6312 val 0.5000
    [split 44 train 0] epoch   4 kayıp 0.6407 eğitim 0.6969 val 0.5000
    [split 44 train 0] epoch   5 kayıp 0.6159 eğitim 0.7594 val 0.5000
    [split 44 train 0] epoch   6 kayıp 0.5841 eğitim 0.8469 val 0.5000
    [split 44 train 0] epoch   7 kayıp 0.5623 eğitim 0.8750 val 0.5000
    [split 44 train 0] epoch   8 kayıp 0.5337 eğitim 0.8719 val 0.5000
    [split 44 train 0] epoch   9 kayıp 0.4918 eğitim 0.9219 val 0.5000
    [split 44 train 0] epoch  10 kayıp 0.4465 eğitim 0.9219 val 0.5000
    [split 44 train 0] epoch  11 kayıp 0.4075 eğitim 0.9563 val 0.5000
