stride sweep: 5 cells x 5 split x 3 train x 2 = 150 runs, 20 epochs each
C:\Users\Emre\Desktop\project\scripts\leakage_real.py:170: DeprecationWarning: SigMFFile.DATATYPE_KEY is deprecated and will be removed in a future version, use sigmf.DATATYPE_KEY
  SigMFFile.DATATYPE_KEY: "cf32_le",
C:\Users\Emre\Desktop\project\scripts\leakage_real.py:171: DeprecationWarning: SigMFFile.SAMPLE_RATE_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_RATE_KEY
  SigMFFile.SAMPLE_RATE_KEY: rec.sample_rate,
C:\Users\Emre\Desktop\project\scripts\leakage_real.py:172: DeprecationWarning: SigMFFile.VERSION_KEY is deprecated and will be removed in a future version, use sigmf.VERSION_KEY
  SigMFFile.VERSION_KEY: "1.0.0",
C:\Users\Emre\Desktop\project\scripts\leakage_real.py:173: DeprecationWarning: SigMFFile.DESCRIPTION_KEY is deprecated and will be removed in a future version, use sigmf.DESCRIPTION_KEY
  SigMFFile.DESCRIPTION_KEY: f"DASH7 cabled packet segment, snr={snr_db}",
C:\Users\Emre\Desktop\project\scripts\leakage_real.py:176: DeprecationWarning: SigMFFile.FREQUENCY_KEY is deprecated and will be removed in a future version, use sigmf.FREQUENCY_KEY
  handle.add_capture(0, metadata={SigMFFile.FREQUENCY_KEY: rec.center_frequency})
  prepared -19 in 9s
  [ 37/150] snr= -19 stride= 512 recording-level split=7 train=0  test=44.14% train=87.86%  (33s/run, 3582/1194 windows, ~39 min left)
  [ 38/150] snr= -19 stride= 512 recording-level split=7 train=1  test=68.01% train=88.41%  (32s/run, 3582/1194 windows, ~39 min left)
  [ 39/150] snr= -19 stride= 512 recording-level split=7 train=2  test=44.14% train=86.96%  (32s/run, 3582/1194 windows, ~39 min left)
  [ 40/150] snr= -19 stride= 512 window-level    split=7 train=0  test=79.73% train=85.96%  (33s/run, 3582/1194 windows, ~39 min left)
  [ 41/150] snr= -19 stride= 512 window-level    split=7 train=1  test=74.54% train=86.60%  (31s/run, 3582/1194 windows, ~39 min left)
  [ 42/150] snr= -19 stride= 512 window-level    split=7 train=2  test=36.26% train=85.96%  (32s/run, 3582/1194 windows, ~40 min left)
  [ 43/150] snr= -19 stride= 512 recording-level split=1234 train=0  test=53.10% train=87.05%  (32s/run, 3582/1194 windows, ~40 min left)
  [ 44/150] snr= -19 stride= 512 recording-level split=1234 train=1  test=46.98% train=87.55%  (33s/run, 3582/1194 windows, ~40 min left)
  [ 45/150] snr= -19 stride= 512 recording-level split=1234 train=2  test=41.46% train=86.80%  (33s/run, 3582/1194 windows, ~40 min left)
  [ 46/150] snr= -19 stride= 512 window-level    split=1234 train=0  test=69.35% train=86.24%  (32s/run, 3582/1194 windows, ~40 min left)
