C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:133: DeprecationWarning: SigMFFile.DATATYPE_KEY is deprecated and will be removed in a future version, use sigmf.DATATYPE_KEY
  SigMFFile.DATATYPE_KEY: "cf32_le",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:134: DeprecationWarning: SigMFFile.SAMPLE_RATE_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_RATE_KEY
  SigMFFile.SAMPLE_RATE_KEY: rec.sample_rate,
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:135: DeprecationWarning: SigMFFile.VERSION_KEY is deprecated and will be removed in a future version, use sigmf.VERSION_KEY
  SigMFFile.VERSION_KEY: "1.0.0",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:136: DeprecationWarning: SigMFFile.DESCRIPTION_KEY is deprecated and will be removed in a future version, use sigmf.DESCRIPTION_KEY
  SigMFFile.DESCRIPTION_KEY: f"LoRaIQ segment from {start}",
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:139: DeprecationWarning: SigMFFile.START_INDEX_KEY is deprecated and will be removed in a future version, use sigmf.SAMPLE_START_KEY or SigMFFile.SAMPLE_START_KEY
  capture = {SigMFFile.START_INDEX_KEY: 0}
C:\Users\Emre\Desktop\project\scripts\leakage_loraiq.py:141: DeprecationWarning: SigMFFile.FREQUENCY_KEY is deprecated and will be removed in a future version, use sigmf.FREQUENCY_KEY
  capture[SigMFFile.FREQUENCY_KEY] = rec.center_frequency
prepared 312 recordings in 15s -> C:\Users\Emre\AppData\Local\Temp\iqforge-loraiq-src-efjawudw
5 strides x 5 split x 3 train x 2 = 150 runs, 20 epochs each
  [ 38/150] stride= 512 recording-level split=7 train=1  test=76.83% train=68.65%  (47s/run, 5180/1148 windows, ~53 min left)
  [ 39/150] stride= 512 recording-level split=7 train=2  test=75.26% train=67.66%  (47s/run, 5180/1148 windows, ~54 min left)
  [ 40/150] stride= 512 window-level    split=7 train=0  test=68.41% train=73.73%  (47s/run, 5180/1149 windows, ~54 min left)
  [ 41/150] stride= 512 window-level    split=7 train=1  test=65.19% train=73.75%  (48s/run, 5180/1149 windows, ~54 min left)
  [ 42/150] stride= 512 window-level    split=7 train=2  test=72.50% train=74.05%  (47s/run, 5180/1149 windows, ~55 min left)
  [ 43/150] stride= 512 recording-level split=1234 train=0  test=68.38% train=73.46%  (43s/run, 5012/2100 windows, ~55 min left)
  [ 44/150] stride= 512 recording-level split=1234 train=1  test=41.57% train=73.96%  (44s/run, 5012/2100 windows, ~55 min left)
  [ 45/150] stride= 512 recording-level split=1234 train=2  test=64.19% train=74.08%  (43s/run, 5012/2100 windows, ~55 min left)
  [ 46/150] stride= 512 window-level    split=1234 train=0  test=71.99% train=72.73%  (43s/run, 5012/2099 windows, ~55 min left)
  [ 47/150] stride= 512 window-level    split=1234 train=1  test=66.51% train=73.30%  (43s/run, 5012/2099 windows, ~55 min left)
  [ 48/150] stride= 512 window-level    split=1234 train=2  test=71.41% train=72.81%  (43s/run, 5012/2099 windows, ~55 min left)
  [ 49/150] stride= 512 recording-level split=2026 train=0  test=68.70% train=77.94%  (41s/run, 4620/2128 windows, ~55 min left)
  [ 50/150] stride= 512 recording-level split=2026 train=1  test=65.55% train=77.32%  (42s/run, 4620/2128 windows, ~54 min left)
  [ 51/150] stride= 512 recording-level split=2026 train=2  test=67.25% train=77.64%  (42s/run, 4620/2128 windows, ~54 min left)
  [ 52/150] stride= 512 window-level    split=2026 train=0  test=72.97% train=72.81%  (43s/run, 4620/2127 windows, ~54 min left)
  [ 53/150] stride= 512 window-level    split=2026 train=1  test=72.50% train=73.07%  (42s/run, 4620/2127 windows, ~54 min left)
  [ 54/150] stride= 512 window-level    split=2026 train=2  test=69.16% train=72.84%  (42s/run, 4620/2127 windows, ~53 min left)
  [ 55/150] stride= 512 recording-level split=99 train=0  test=54.89% train=78.07%  (40s/run, 4172/1820 windows, ~53 min left)
